shop_key,lang,name,address,hours_note,_lng,_lat,_address_en
all-seasons-coffee,ja,オールシーズンズコーヒー,東京都新宿区新宿2-７−７,祝日 10:00 - 19:00,getLocation(D2),,
all-seasons-coffee,en,4/4 SEASONS COFFEE,"2-7-7 Shinjuku, Shinjuku-ku, Tokyo",Holiday 10:00 - 19:00,,,
arise-coffee-entangle,ja,アライズ コーヒー エンタングル,東京都江東区清澄3-1-3,,,,
arise-coffee-entangle,en,ARiSE COFFEE ENTANGLE,"3-1-3 Kiyosumi, Koto-ku, Tokyo",,,,
coffee-sanjikken-ginza,ja,珈琲専門店 三十間 銀座本店,東京都中央区銀座3-8-12 大広朝日ビルB1,,,,
coffee-sanjikken-ginza,en,COFFEE SANJIKKEN GINZA,"Daiko Asahi Building B1, 3-8-12 Ginza, Chuo-ku, Tokyo",,,,
coffee-stand-by-me,ja,Coffee Stand by me,台北市大同區赤峰街41巷4號,,,,
coffee-stand-by-me,en,Coffee Stand by me,"No. 4, lane 41, chifeng street, datong district, Taipei city",,,,
coffee-valley,ja,コーヒーバレー,東京都豊島区南池袋2-26-3,祝日 9:00 - 22:00,,,
coffee-valley,en,COFFEE VALLEY,"2-26-3 Minamiikebukuro, Toshima-ku, Tokyo",Holiday 9:00 - 22:00,,,
cottea,ja,Cottea,東京都渋谷区渋谷2-3-3 仙海ビル1階,,,,
cottea,en,Cottea,"Senkai Building 1F, 2-3-3 Shibuya, Shibuya-ku, Tokyo",,,,
glitch-coffee-and-roasters,ja,GLITCH COFFEE & ROASTERS,東京都千代田区神田錦町3-16 香村ビル1F,,,,
glitch-coffee-and-roasters,en,GLITCH COFFEE & ROASTERS,"3-16 1F Kandanishikicho, Chiyoda-ku, Tokyo",,,,
hagi-cafe,ja,ハギ カフェ,東京都台東区谷中3-10-25,,,,
hagi-cafe,en,HAGI CAFE,"3-10-25 Yanaka, Taito-ku, Tokyo",,,,
kayaba-coffee,ja,カヤバ珈琲,東京都台東区谷中6-1-29,,,,
kayaba-coffee,en,Kayaba Coffee,"6-1-29 Yanaka, Taito-ku, Tokyo",,,,
little-nap-coffee-stand,ja,Little Nap COFFEE STAND,東京都渋谷区代々木5丁目65-4,,,,
little-nap-coffee-stand,en,Little Nap COFFEE STAND,"5-65-4 Yoyogi, Shibuya-ku, Tokyo",,,,
mighty-steps-coffee-stop,ja,マイティ ステップス コーヒー ストップ,東京都中央区日本橋本町4-3-14,,,,
mighty-steps-coffee-stop,en,Mighty steps coffee stop,"4-3-14 Nihombashihoncho, Chuo-ku, Tokyo",,,,
mitts-coffee-stand,ja,MITTS COFFEE STAND,愛知県名古屋市中区錦2丁目8-15 錦三輪ビル1階,,,,
mitts-coffee-stand,en,MITTS COFFEE STAND,"Nishikiminowa building 1F, 2 Chome-8-15 Nishiki, Naka-ku, Nagoya, Aichi",,,,
monkey-cafe-dky,ja,MONKEY CAFE D.K.Y.,東京都渋谷区猿楽町12-8,,,,
monkey-cafe-dky,en,MONKEY CAFE D.K.Y.,"12-8 Sarugakucho, Shibuya-ku, Tokyo",,,,
monmouth-coffee-covent-garden,ja,MONMOUTH COFFEE,"The Riverside Bldg, 27 Monmouth St, London WC2H 9EU",,,,
monmouth-coffee-covent-garden,en,MONMOUTH COFFEE,"The Riverside Bldg, 27 Monmouth St, London WC2H 9EU",,,,
monmouth-coffee-the-borough,ja,MONMOUTH COFFEE,"2 Park St, London SE1 9AB",,,,
monmouth-coffee-the-borough,en,MONMOUTH COFFEE,"2 Park St, London SE1 9AB",,,,
monz-cafe,ja,MONZ CAFE 門前仲町店,東京都江東区富岡1-14-5,祝日 9:00 - 18:00,,,
monz-cafe,en,MONZ CAFE,"1-14-5 Tomioka, Koto-ku, Tokyo",Holiday 9:00 - 18:00,,,
paddlers-coffee,ja,パドラーズコーヒー,東京都渋谷区西原2丁目26-5,,,,
paddlers-coffee,en,PADDLERS COFFEE,"2-26-5 Nishihara, Shibuya-ku, Tokyo",,,,
red-horn,ja,RedHorn COFFEE HOUSE & BREWING CO.,テキサス州シーダーパークG6M9+GM,,,,
red-horn,en,RedHorn COFFEE HOUSE & BREWING CO.,"13010 W Parmer Lane, Ste 800 Cedar Park, Texas 78613",,,,
saredo-coffee,ja,Saredo Coffee,福岡県福岡市中央区六本松3-11-33エステートビル101,,,,
saredo-coffee,en,Saredo Coffee,"Estate Building 101, 3-11-33, Ropponmatsu, Chuo-ku, Fukuoka-shi, Fukuoka-ken",,,,
sarutahiko-coffee,ja,猿田彦珈琲 恵比寿本店,東京都渋谷区恵比寿1-6-6,,,,
sarutahiko-coffee,en,SARUTAHIKO COFFEE Ebisu,"1-6-6 Ebisu, Shibuya-ku, Tokyo",,,,
sols-coffee-roastery,ja,ソルズコーヒー ロースタリー,東京都台東区浅草橋3-25-7,,,,
sols-coffee-roastery,en,SOL'S COFFEE ROASTERY,"3-25-7 Asakusabashi, Taito-ku, Tokyo",,,,
the-coffee-bean-and-tea-leaf,ja,コーヒービーン＆ティーリーフ,東京都中央区日本橋1丁目3番13号　東京建物日本橋ビル1F,祝日 8:00 - 21:00,,,
the-coffee-bean-and-tea-leaf,en,The Coffee Bean & Tea Leaf,"Tokyo Tatemono Nihombashi Building 1F, 1-3-13, Nihombashi, Chuo-ku, Tokyo",Holiday 8:00 - 21:00,,,
tokado-coffee,ja,豆香洞コーヒー,福岡県大野城市白木原3-3-1,,,,
tokado-coffee,en,Tokado Coffee,"3-3-1, Shirakibaru, Onojo-shi, Fukuoka",,,,
tokado-coffee-nakasukawabata,ja,豆香洞コーヒー,福岡県福岡市博多区下川端町3-1 博多リバレインモールB2F,,,,
tokado-coffee-nakasukawabata,en,Tokado Coffee,"Hakata Riverain B2F, 3-1, Shimokawabatamachi, Hakata-ku, Fukuoka-shi, Fukuoka",,,,
torse,ja,トルス,東京都世田谷区下馬5-35-5,,,,
torse,en,torse,"5-35-5 Shimouma, Setagaya-ku, Tokyo",,,,
verve-coffee-roasters-shinjuku,ja,VERVE COFFEE ROASTERS 新宿,東京都渋谷区千駄ヶ谷5-24-55 NEWoMan SHINJUKU 2F,,,,
verve-coffee-roasters-shinjuku,en,VERVE COFFEE ROASTERS SHINJUKU,"NEWoMan SHINJUKU 2F, 5-24-55 Sendagaya, Shibuya-ku, Tokyo",,,,
your-daily-coffee,ja,YOUR DAILY/COFFEE,東京都世田谷区世田谷2-14-3 TKビル1階,祝日 9:00 - 19:00,,,
your-daily-coffee,en,YOUR DAILY/COFFEE,"TK Building 1F, 2-14-3 Setagaya, Setagaya-ku, Tokyo",Holiday 9:00 - 19:00,,,
takamura-wine-and-coffee-roasters,ja,TAKAMURA WINE AND COFFEE ROATERS,大阪市西区江戸堀2丁目2-18,,,,
takamura-wine-and-coffee-roasters,en,TAKAMURA WINE AND COFFEE ROATERS,"2 Chome-2-18 Edobori, Nishi-ku, Ōsaka-shi, Ōsaka-fu 550-0002, Japan",,,,
stumptown-coffeeroasters-seattle,ja,Stumptown Coffee Roasters,ワシントン州シアトルJM6M+R5,,,,
stumptown-coffeeroasters-seattle,en,Stumptown Coffee Roasters,"1115 12th Ave, Seattle, WA 98122",,,,
