key,lat,lng,email,tel,permanent_closed,transfer_to,web,ec,facebook,twitter,instagram,instagram_tag,google_maps,has_roaster,has_speciality,has_beans,has_credit,has_power,has_wifi,has_barrier_free,has_pet,has_smoking
all-seasons-coffee,35.689796,139.70793,info@allseasonscoffee.jp,0353414273,FALSE,,http://allseasonscoffee.jp/,,https://www.facebook.com/44-SEASONS-COFFEE-881066701961401/,,https://www.instagram.com/allseasonscoffee/,https://www.instagram.com/explore/tags/allseasonscoffee/,https://goo.gl/maps/JrGcYPCtgKq,0,1,0,0,0,0,0,0,0
arise-coffee-entangle,35.679067,139.796182,,0336433601,FALSE,,http://arisecoffee.jp/,,,https://twitter.com/arisecoffee,,https://www.instagram.com/explore/tags/arisecoffeeentangle/,https://goo.gl/maps/VU1s1tPYaWT2,1,1,1,0,0,0,0,0,0
coffee-sanjikken-ginza,35.671413,139.767185,,0335648096,FALSE,,http://sanjikken.net/,,,,,https://www.instagram.com/explore/tags/sanjikken/,https://goo.gl/maps/LdHKJbz7QUt,0,1,0,1,0,0,0,0,2
coffee-stand-by-me,25.054776,121.52008,,886225588381,FALSE,,,,https://www.facebook.com/coffeestandbyme/,,https://www.instagram.com/coffeestandbyme/,https://www.instagram.com/explore/tags/coffeestandbyme/,https://goo.gl/maps/LQLwrpAxhxA2,0,1,1,0,0,0,0,0,0
coffee-valley,35.727809,139.713377,info@coffeevalley.jp,0369071173,FALSE,,https://coffeevalley.jp/,,https://www.facebook.com/www.coffeevalley.jp/,,https://www.instagram.com/coffeevalley.jp/,https://www.instagram.com/explore/tags/coffeevalley/,https://goo.gl/maps/Y3WNmBhdxi32,1,1,1,1,0,1,0,0,0
cottea,35.65964,139.708759,info@cottea.jp,0364506674,FALSE,,https://cottea.jp/,https://cottea.jp/customize/,https://www.facebook.com/cottea.jp/,https://twitter.com/Cotteajp,https://www.instagram.com/cottea.jp/,https://www.instagram.com/explore/tags/cottea/,https://goo.gl/maps/FApX58mdaw32,1,1,1,0,0,0,0,0,0
glitch-coffee-and-roasters,35.693743,139.761305,press@glitchcoffee.com,0352445458,FALSE,,http://glitchcoffee.com/,,https://www.facebook.com/glitchcoffee/,https://twitter.com/glitch_coffee/,https://www.instagram.com/glitch_coffee/,https://www.instagram.com/explore/tags/glitchcoffee/,https://goo.gl/maps/GoebNwTigkL2,1,1,1,0,1,1,0,0,0
hagi-cafe,35.726399,139.766049,info@hagiso.jp,0358329808,FALSE,,http://hagiso.jp/cafe/,,https://www.facebook.com/hagiso/,https://twitter.com/hagiso1955,https://www.instagram.com/hagiso_yanaka/,https://www.instagram.com/explore/tags/hagicafe/,https://goo.gl/maps/hQF5ucj3E8z,0,1,0,0,0,1,0,0,2
kayaba-coffee,35.721148,139.770704,mail@kayaba-coffee.com,0338233545,FALSE,,http://kayaba-coffee.com/,,,https://twitter.com/kayaba_coffee,,https://www.instagram.com/explore/tags/kayabacoffee/,https://goo.gl/maps/RnMkGnsvDNN2,0,0,0,0,0,0,0,0,2
little-nap-coffee-stand,35.672123,139.69056,,0334660074,FALSE,,http://www.littlenap.jp,http://www.littlenap.jp/shop/,https://www.facebook.com/LittleNapCOFFEESTAND,https://twitter.com/LittleNap_CS,,https://www.instagram.com/explore/tags/littlenapcoffeestand/,https://goo.gl/maps/7YhWai4LVFE2,1,1,1,0,0,0,0,0,0
mighty-steps-coffee-stop,35.689784,139.773466,,0362621988,FALSE,,,,https://www.facebook.com/mightysteps.coffee.stop/,,,https://www.instagram.com/explore/tags/mightystepscoffeestop/,https://goo.gl/maps/yJQvWKCfC2B2,0,1,0,0,0,1,0,0,0
mitts-coffee-stand,35.17133,136.898236,,0522220207,FALSE,,http://www.mitts-coffee.com/,,https://www.facebook.com/MittsCoffeeStand,https://twitter.com/MITTScoffee,https://www.instagram.com/mittscoffeestand/,https://www.instagram.com/explore/tags/mittscoffeestand/,https://goo.gl/maps/TmVc69m41qD2,0,1,0,0,0,0,0,0,0
